ort,plz,landkreis,bundesland
Sömmerda,99625,Landkreis Sömmerda,Thüringen
Sommerhausen,97286,Landkreis Würzburg,Bayern
Sommerkahl,63825,Landkreis Aschaffenburg,Bayern
Sommerland,25358,Kreis Steinburg,Schleswig-Holstein
Sommerloch,55595,Landkreis Bad Kreuznach,Rheinland-Pfalz
Sommersdorf,39365,Landkreis Börde,Sachsen-Anhalt
Sommersdorf,17111,Landkreis Mecklenburgische Seenplatte,Mecklenburg-Vorpommern
Sonderhofen,97255,Landkreis Würzburg,Bayern
Sondershausen,99706,Kyffhäuserkreis,Thüringen
Sondheim v.d.Rhön,97647,Landkreis Rhön-Grabfeld,Bayern
Sonneberg,96515,Landkreis Sonneberg,Thüringen
Sonneborn,99869,Landkreis Gotha,Thüringen
Sönnebüll,25821,Kreis Nordfriesland,Schleswig-Holstein
Sonnefeld,96242,Landkreis Coburg,Bayern
Sonnen,94164,Landkreis Passau,Bayern
Sonnenberg,16775,Landkreis Oberhavel,Brandenburg
Sonnenberg-Winnenberg,55767,Landkreis Birkenfeld,Rheinland-Pfalz
Sonnenbühl,72820,Landkreis Reutlingen,Baden-Württemberg
Sonnenstein,37345,Landkreis Eichsfeld,Thüringen
Sonnewalde,03249,Landkreis Elbe-Elster,Brandenburg
Sonnschied,55758,Landkreis Birkenfeld,Rheinland-Pfalz
Sonsbeck,47665,Kreis Wesel,Nordrhein-Westfalen
Sontheim,87776,Landkreis Unterallgäu,Bayern
Sontheim an der Brenz,89567,Landkreis Heidenheim,Baden-Württemberg
Sonthofen,87527,Landkreis Oberallgäu,Bayern
Sontra,36205,Werra-Meißner-Kreis,Hessen
Sophienhamm,24806,Kreis Rendsburg-Eckernförde,Schleswig-Holstein
Sören,24241,Kreis Rendsburg-Eckernförde,Schleswig-Holstein
Sörgenloch,55270,Landkreis Mainz-Bingen,Rheinland-Pfalz
Sörth,57636,Landkreis Altenkirchen,Rheinland-Pfalz
Sörup,24966,Kreis Schleswig-Flensburg,Schleswig-Holstein
Sosberg,56858,Landkreis Cochem-Zell,Rheinland-Pfalz
Sottrum,27367,Landkreis Rotenburg (Wümme),Niedersachsen
Soyen,83564,Landkreis Rosenheim,Bayern
Spabrücken,55595,Landkreis Bad Kreuznach,Rheinland-Pfalz
Spahnharrenstätte,49751,Landkreis Emsland,Niedersachsen
Spaichingen,78549,Landkreis Tuttlingen,Baden-Württemberg
Spall,55595,Landkreis Bad Kreuznach,Rheinland-Pfalz
Spalt,91174,Landkreis Roth,Bayern
Spangdahlem,54529,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz
Spangenberg,34286,Schwalm-Eder-Kreis,Hessen
Spantekow,17391,Landkreis Vorpommern-Greifswald,Mecklenburg-Vorpommern
Spantekow,17392,Landkreis Vorpommern-Greifswald,Mecklenburg-Vorpommern
Spardorf,91080,Landkreis Erlangen-Höchstadt,Bayern
Sparneck,95234,Landkreis Hof,Bayern
Spatzenhausen,82418,Landkreis Garmisch-Partenkirchen,Bayern
Spatzenhausen,82447,Landkreis Garmisch-Partenkirchen,Bayern
Spay,56322,Landkreis Mayen-Koblenz,Rheinland-Pfalz
Spechbach,74937,Rhein-Neckar-Kreis,Baden-Württemberg
Speicher,54662,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz
Speichersdorf,95469,Landkreis Bayreuth,Bayern
Speinshart,92676,Landkreis Neustadt an der Waldnaab,Bayern
Spelle,48480,Landkreis Emsland,Niedersachsen
Spenge,32139,Kreis Herford,Nordrhein-Westfalen
Spesenroth,56288,Rhein-Hunsrück-Kreis,Rheinland-Pfalz
Spessart,56746,Landkreis Ahrweiler,Rheinland-Pfalz
Speyer,67346,,Rheinland-Pfalz
Spiegelau,94518,Landkreis Freyung-Grafenau,Bayern
Spiegelberg,71579,Rems-Murr-Kreis,Baden-Württemberg
Spiekeroog,26474,Landkreis Wittmund,Niedersachsen
Spiesen-Elversberg,66583,Landkreis Neunkirchen,Saarland
Spiesheim,55288,Landkreis Alzey-Worms,Rheinland-Pfalz
Spirkelbach,76848,Landkreis Südwestpfalz,Rheinland-Pfalz
Splietsdorf,18513,Landkreis Vorpommern-Rügen,Mecklenburg-Vorpommern
Sponheim,55595,Landkreis Bad Kreuznach,Rheinland-Pfalz
Sponholz,17039,Landkreis Mecklenburgische Seenplatte,Mecklenburg-Vorpommern
Spornitz,19372,Landkreis Ludwigslust-Parchim,Mecklenburg-Vorpommern
Spraitbach,73565,Ostalbkreis,Baden-Württemberg
Spraitbach,73568,Ostalbkreis,Baden-Württemberg
Spraitbach,73577,Ostalbkreis,Baden-Württemberg
Sprakebüll,25917,Kreis Nordfriesland,Schleswig-Holstein
Sprakensehl,29365,Landkreis Gifhorn,Niedersachsen
Spreenhagen,15528,Landkreis Oder-Spree,Brandenburg
Spreetal - Sprjewiny Doł,02979,Landkreis Bautzen,Sachsen
Spreewaldheide,15913,Landkreis Dahme-Spreewald,Brandenburg
Spremberg,03130,Landkreis Spree-Neiße,Brandenburg
Sprendlingen,55576,Landkreis Mainz-Bingen,Rheinland-Pfalz
Springe,31832,Region Hannover,Niedersachsen
Sprockhövel,45549,Ennepe-Ruhr-Kreis,Nordrhein-Westfalen
Sprötau,99610,Landkreis Sömmerda,Thüringen
Stäbelow,18198,Landkreis Rostock,Mecklenburg-Vorpommern
Stade,21680,Landkreis Stade,Niedersachsen
Stade,21682,Landkreis Stade,Niedersachsen
Stade,21683,Landkreis Stade,Niedersachsen
Stade,21684,Landkreis Stade,Niedersachsen
Stadecken-Elsheim,55271,Landkreis Mainz-Bingen,Rheinland-Pfalz
Stadelhofen,96187,Landkreis Bamberg,Bayern
Stadland,26935,Landkreis Wesermarsch,Niedersachsen
Stadland,26936,Landkreis Wesermarsch,Niedersachsen
Stadland,26937,Landkreis Wesermarsch,Niedersachsen
Stadlern,92549,Landkreis Schwandorf,Bayern
Stadtallendorf,35260,Landkreis Marburg-Biedenkopf,Hessen
Stadtbergen,86391,Landkreis Augsburg,Bayern
Stadthagen,31655,Landkreis Schaumburg,Niedersachsen
Stadtilm,99326,Ilm-Kreis,Thüringen
Stadtkyll,54589,Landkreis Vulkaneifel,Rheinland-Pfalz
Stadtlauringen,97488,Landkreis Schweinfurt,Bayern
Stadtlohn,48703,Kreis Borken,Nordrhein-Westfalen
Stadtoldendorf,37627,Landkreis Holzminden,Niedersachsen
Stadtprozelten,97909,Landkreis Miltenberg,Bayern
Stadtroda,07646,Saale-Holzland-Kreis,Thüringen
Stadtsteinach,95346,Landkreis Kulmbach,Bayern
Stadum,25917,Kreis Nordfriesland,Schleswig-Holstein
Staffhorst,27254,Landkreis Diepholz,Niedersachsen
Stafstedt,24816,Kreis Rendsburg-Eckernförde,Schleswig-Holstein
Stahlberg,67808,Donnersbergkreis,Rheinland-Pfalz
Stahlhofen,56412,Westerwaldkreis,Rheinland-Pfalz
Stahlhofen am Wiesensee,56459,Westerwaldkreis,Rheinland-Pfalz
Stahnsdorf,14532,Landkreis Potsdam-Mittelmark,Brandenburg
Staig,89195,Alb-Donau-Kreis,Baden-Württemberg
Stakendorf,24217,Kreis Plön,Schleswig-Holstein
Stallwang,94375,Landkreis Straubing-Bogen,Bayern
Stammbach,95236,Landkreis Hof,Bayern
Stammham,84533,Landkreis Altötting,Bayern
Stammham,85092,Landkreis Eichstätt,Bayern
Stammham,85134,Landkreis Eichstätt,Bayern
Stamsried,93491,Landkreis Cham,Bayern
Standenbühl,67816,Donnersbergkreis,Rheinland-Pfalz
Stangheck,24395,Kreis Schleswig-Flensburg,Schleswig-Holstein
Stapel,25879,Kreis Schleswig-Flensburg,Schleswig-Holstein
Stapelfeld,22145,Kreis Stormarn,Schleswig-Holstein
Starkenberg,04617,Landkreis Altenburger Land,Thüringen
Starkenburg,56843,Landkreis Bernkastel-Wittlich,Rheinland-Pfalz
Starnberg,82319,Landkreis Starnberg,Bayern
Starzach,72181,Landkreis Tübingen,Baden-Württemberg
Staßfurt,39418,Salzlandkreis,Sachsen-Anhalt
Staßfurt,39443,Salzlandkreis,Sachsen-Anhalt
Staßfurt,39446,Salzlandkreis,Sachsen-Anhalt
Stauchitz,01594,Landkreis Meißen,Sachsen
Staudach-Egerndach,83224,Landkreis Traunstein,Bayern
Staudernheim,55568,Landkreis Bad Kreuznach,Rheinland-Pfalz
Staudt,56424,Westerwaldkreis,Rheinland-Pfalz
Staufenberg,35460,Landkreis Gießen,Hessen
Staufenberg,34355,Landkreis Göttingen,Niedersachsen
Staufen im Breisgau,79219,Landkreis Breisgau-Hochschwarzwald,Baden-Württemberg
Staven,17039,Landkreis Mecklenburgische Seenplatte,Mecklenburg-Vorpommern
Stavenhagen,17153,Landkreis Mecklenburgische Seenplatte,Mecklenburg-Vorpommern
Stavern,49777,Landkreis Emsland,Niedersachsen
St. Blasien,79837,Landkreis Waldshut,Baden-Württemberg
Stebach,56276,Landkreis Neuwied,Rheinland-Pfalz
Stechlin,16775,Landkreis Oberhavel,Brandenburg
Stechow-Ferchesar,14715,Landkreis Havelland,Brandenburg
Stedesand,25920,Kreis Nordfriesland,Schleswig-Holstein
Stedesdorf,26427,Landkreis Wittmund,Niedersachsen
Steenfeld,25557,Kreis Rendsburg-Eckernförde,Schleswig-Holstein
Steffeln,54597,Landkreis Vulkaneifel,Rheinland-Pfalz
Steffenberg,35239,Landkreis Marburg-Biedenkopf,Hessen
Steffenshagen,18209,Landkreis Rostock,Mecklenburg-Vorpommern
Stegaurach,96135,Landkreis Bamberg,Bayern
Stegen,79252,Landkreis Breisgau-Hochschwarzwald,Baden-Württemberg
St. Egidien,09356,Landkreis Zwickau,Sachsen
Steigra,06268,Saalekreis,Sachsen-Anhalt
Steimbke,31634,Landkreis Nienburg/Weser,Niedersachsen
Steimel,57614,Landkreis Neuwied,Rheinland-Pfalz
Stein,24235,Kreis Plön,Schleswig-Holstein
Stein,90547,Landkreis Fürth,Bayern
Steina,01920,Landkreis Bautzen,Sachsen
Steinach,77790,Ortenaukreis,Baden-Württemberg
Steinach,94377,Landkreis Straubing-Bogen,Bayern
Steinach,96523,Landkreis Sonneberg,Thüringen
Steinalben,66851,Landkreis Südwestpfalz,Rheinland-Pfalz
Steinau,21775,Landkreis Cuxhaven,Niedersachsen
Steinau an der Straße,36396,Main-Kinzig-Kreis,Hessen
Steinbach,61449,Hochtaunuskreis,Hessen
Steinbach,56291,Rhein-Hunsrück-Kreis,Rheinland-Pfalz
Steinbach,37308,Landkreis Eichsfeld,Thüringen
Steinbach am Donnersberg,67808,Donnersbergkreis,Rheinland-Pfalz
Steinbach am Glan,66909,Landkreis Kusel,Rheinland-Pfalz
Steinbach am Wald,96361,Landkreis Kronach,Bayern
Steinbach-Hallenberg,98587,Landkreis Schmalkalden-Meiningen,Thüringen
Steinberg,08237,Vogtlandkreis,Sachsen
Steinberg,24972,Kreis Schleswig-Flensburg,Schleswig-Holstein
Steinberg am See,92449,Landkreis Schwandorf,Bayern
Steinbergkirche,24972,Kreis Schleswig-Flensburg,Schleswig-Holstein
Stein-Bockenheim,55599,Landkreis Alzey-Worms,Rheinland-Pfalz
Steinborn,54655,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz
Steinburg,22964,Kreis Stormarn,Schleswig-Holstein
Steindorf,82297,Landkreis Aichach-Friedberg,Bayern
Steinebach an der Wied,57629,Westerwaldkreis,Rheinland-Pfalz
Steinebach/Sieg,57520,Landkreis Altenkirchen,Rheinland-Pfalz
Steineberg,54552,Landkreis Vulkaneifel,Rheinland-Pfalz
Steinefrenz,56414,Westerwaldkreis,Rheinland-Pfalz
Steinen,56244,Westerwaldkreis,Rheinland-Pfalz
Steinen,79585,Landkreis Lörrach,Baden-Württemberg
Steinenbronn,71144,Landkreis Böblingen,Baden-Württemberg
Steineroth,57518,Landkreis Altenkirchen,Rheinland-Pfalz
Steinfeld,97854,Landkreis Main-Spessart,Bayern
Steinfeld,24888,Kreis Schleswig-Flensburg,Schleswig-Holstein
Steinfeld,76889,Landkreis Südliche Weinstraße,Rheinland-Pfalz
Steinfeld,49439,Landkreis Vechta,Niedersachsen
Steinfurt,48565,Kreis Steinfurt,Nordrhein-Westfalen
Steingaden,86989,Landkreis Weilheim-Schongau,Bayern
Steinhagen,33803,Kreis Gütersloh,Nordrhein-Westfalen
Steinhagen,18442,Landkreis Vorpommern-Rügen,Mecklenburg-Vorpommern
Steinhagen,18246,Landkreis Rostock,Mecklenburg-Vorpommern
Steinhausen an der Rottum,88416,Landkreis Biberach,Baden-Württemberg
Steinheim,32839,Kreis Höxter,Nordrhein-Westfalen
Steinheim am Albuch,73566,Landkreis Heidenheim,Baden-Württemberg
Steinheim am Albuch,89555,Landkreis Heidenheim,Baden-Württemberg
Steinheim an der Murr,71711,Landkreis Ludwigsburg,Baden-Württemberg
Steinheuterode,37318,Landkreis Eichsfeld,Thüringen
Steinhöfel,15518,Landkreis Oder-Spree,Brandenburg
Steinhöring,85643,Landkreis Ebersberg,Bayern
Steinhorst,29367,Landkreis Gifhorn,Niedersachsen
Steinhorst,23847,Kreis Herzogtum Lauenburg,Schleswig-Holstein
Steinigtwolmsdorf,01904,Landkreis Bautzen,Sachsen
Steiningen,54552,Landkreis Vulkaneifel,Rheinland-Pfalz
Steinkirchen,21720,Landkreis Stade,Niedersachsen
Steinkirchen,84439,Landkreis Erding,Bayern
Steinmauern,76479,Landkreis Rastatt,Baden-Württemberg
Stein-Neukirch,56479,Westerwaldkreis,Rheinland-Pfalz
Steinreich,15938,Landkreis Dahme-Spreewald,Brandenburg
Steinsberg,56379,Rhein-Lahn-Kreis,Rheinland-Pfalz
Steinsfeld,91628,Landkreis Ansbach,Bayern
Steinweiler,76872,Landkreis Germersheim,Rheinland-Pfalz
Steinwenden,66879,Landkreis Kaiserslautern,Rheinland-Pfalz
Steinwiesen,96349,Landkreis Kronach,Bayern
Stein-Wingert,57629,Westerwaldkreis,Rheinland-Pfalz
Steißlingen,78256,Landkreis Konstanz,Baden-Württemberg
Stelle,21435,Landkreis Harburg,Niedersachsen
Stelle-Wittenwurth,25795,Kreis Dithmarschen,Schleswig-Holstein
Stelzenberg,67705,Landkreis Kaiserslautern,Rheinland-Pfalz
Stemmen,27389,Landkreis Rotenburg (Wümme),Niedersachsen
Stemshorn,49448,Landkreis Diepholz,Niedersachsen
Stemwede,32351,Kreis Minden-Lübbecke,Nordrhein-Westfalen
Stendal,39576,Landkreis Stendal,Sachsen-Anhalt
Stepenitztal,23936,Landkreis Nordwestmecklenburg,Mecklenburg-Vorpommern
Stephanskirchen,83071,Landkreis Rosenheim,Bayern
Stephansposching,94569,Landkreis Deggendorf,Bayern
Sterley,23883,Kreis Herzogtum Lauenburg,Schleswig-Holstein
Sternberg,19406,Landkreis Ludwigslust-Parchim,Mecklenburg-Vorpommern
Sternenfels,75447,Enzkreis,Baden-Württemberg
Sterup,24996,Kreis Schleswig-Flensburg,Schleswig-Holstein
Stetten,87778,Landkreis Unterallgäu,Bayern
Stetten,67294,Donnersbergkreis,Rheinland-Pfalz
Stetten,88719,Bodenseekreis,Baden-Württemberg
Stetten am kalten Markt,72510,Landkreis Sigmaringen,Baden-Württemberg
Stettfeld,96188,Landkreis Haßberge,Bayern
Steyerberg,31595,Landkreis Nienburg/Weser,Niedersachsen
St. Gangloff,07629,Saale-Holzland-Kreis,Thüringen
St. Georgen im Schwarzwald,78112,Schwarzwald-Baar-Kreis,Baden-Württemberg
Stiefenhofen,88167,Landkreis Lindau,Bayern
Stimpfach,74597,Landkreis Schwäbisch Hall,Baden-Württemberg
Stinstedt,21772,Landkreis Cuxhaven,Niedersachsen
Stipsdorf,23795,Kreis Segeberg,Schleswig-Holstein
Stipshausen,55758,Landkreis Birkenfeld,Rheinland-Pfalz
St. Johann,72813,Landkreis Reutlingen,Baden-Württemberg
St. Leon-Rot,68789,Rhein-Neckar-Kreis,Baden-Württemberg
St. Märgen,79274,Landkreis Breisgau-Hochschwarzwald,Baden-Württemberg
Stockach,78333,Landkreis Konstanz,Baden-Württemberg
Stockelsdorf,23617,Kreis Ostholstein,Schleswig-Holstein
Stockem,54646,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz
Stockhausen-Illfurth,56472,Westerwaldkreis,Rheinland-Pfalz
Stockheim,97640,Landkreis Rhön-Grabfeld,Bayern
Stockheim,96342,Landkreis Kronach,Bayern
Stöckse,31638,Landkreis Nienburg/Weser,Niedersachsen
Stocksee,24326,Kreis Segeberg,Schleswig-Holstein
Stockstadt,64589,Kreis Groß-Gerau,Hessen
Stockstadt am Main,63811,Landkreis Aschaffenburg,Bayern
Stockum-Püschen,56459,Westerwaldkreis,Rheinland-Pfalz
Stödtlen,73495,Ostalbkreis,Baden-Württemberg
Stoetze,29597,Landkreis Uelzen,Niedersachsen
Stolberg,52222,Städteregion Aachen,Nordrhein-Westfalen
Stolberg,52223,Städteregion Aachen,Nordrhein-Westfalen
Stolberg,52224,Städteregion Aachen,Nordrhein-Westfalen
Stolk,24890,Kreis Schleswig-Flensburg,Schleswig-Holstein
Stollberg/Erzgebirge,09366,Erzgebirgskreis,Sachsen
Stolpe,24601,Kreis Plön,Schleswig-Holstein
Stolpe,19372,Landkreis Ludwigslust-Parchim,Mecklenburg-Vorpommern
Stolpe an der Peene,17391,Landkreis Vorpommern-Greifswald,Mecklenburg-Vorpommern
Stolpe auf Usedom,17406,Landkreis Vorpommern-Greifswald,Mecklenburg-Vorpommern
Stolpen,01833,Landkreis Sächsische Schweiz-Osterzgebirge,Sachsen
Stoltebüll,24409,Kreis Schleswig-Flensburg,Schleswig-Holstein
Stoltenberg,24256,Kreis Plön,Schleswig-Holstein
Stolzenau,31592,Landkreis Nienburg/Weser,Niedersachsen
Storbeck-Frankendorf,16818,Landkreis Ostprignitz-Ruppin,Brandenburg
Stördorf,25554,Kreis Steinburg,Schleswig-Holstein
Störkathen,25548,Kreis Steinburg,Schleswig-Holstein
Storkow (Mark),15859,Landkreis Oder-Spree,Brandenburg
Störnstein,92721,Landkreis Neustadt an der Waldnaab,Bayern
Stößen,06667,Burgenlandkreis,Sachsen-Anhalt
Stötten a.Auerberg,87675,Landkreis Ostallgäu,Bayern
Stöttwang,87677,Landkreis Ostallgäu,Bayern
Straelen,47638,Kreis Kleve,Nordrhein-Westfalen
Strahlungen,97618,Landkreis Rhön-Grabfeld,Bayern
Stralendorf,19073,Landkreis Ludwigslust-Parchim,Mecklenburg-Vorpommern
Stralsund,18435,Landkreis Vorpommern-Rügen,Mecklenburg-Vorpommern
Stralsund,18437,Landkreis Vorpommern-Rügen,Mecklenburg-Vorpommern
Stralsund,18439,Landkreis Vorpommern-Rügen,Mecklenburg-Vorpommern
Strande,24229,Kreis Rendsburg-Eckernförde,Schleswig-Holstein
Strasburg (Uckermark),17335,Landkreis Vorpommern-Greifswald,Mecklenburg-Vorpommern
Straßberg,72479,Zollernalbkreis,Baden-Württemberg
Straßenhaus,56587,Landkreis Neuwied,Rheinland-Pfalz
Straßkirchen,94342,Landkreis Straubing-Bogen,Bayern
Straßlach-Dingharting,82064,Landkreis München,Bayern
Straubenhardt,75334,Enzkreis,Baden-Württemberg
Straubing,94315,,Bayern
Straufhain,98646,Landkreis Hildburghausen,Thüringen
Straupitz (Spreewald),15913,Landkreis Dahme-Spreewald,Brandenburg
Strausberg,15344,Landkreis Märkisch-Oderland,Brandenburg
Straußfurt,99634,Landkreis Sömmerda,Thüringen
Strehla,01616,Landkreis Meißen,Sachsen
Streithausen,57629,Westerwaldkreis,Rheinland-Pfalz
Strickscheid,54597,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz
Striegistal,09661,Landkreis Mittelsachsen,Sachsen
Strohkirchen,19230,Landkreis Ludwigslust-Parchim,Mecklenburg-Vorpommern
Strohn,54558,Landkreis Vulkaneifel,Rheinland-Pfalz
Stromberg,55442,Landkreis Bad Kreuznach,Rheinland-Pfalz
Strotzbüsch,54552,Landkreis Vulkaneifel,Rheinland-Pfalz
Strübbel,25792,Kreis Dithmarschen,Schleswig-Holstein
Struckum,25821,Kreis Nordfriesland,Schleswig-Holstein
Strukdorf,23815,Kreis Segeberg,Schleswig-Holstein
Strullendorf,96129,Landkreis Bamberg,Bayern
Struppen,01796,Landkreis Sächsische Schweiz-Osterzgebirge,Sachsen
Strüth,56357,Rhein-Lahn-Kreis,Rheinland-Pfalz
Struvenhütten,24643,Kreis Segeberg,Schleswig-Holstein
Struxdorf,24891,Kreis Schleswig-Flensburg,Schleswig-Holstein
Stubben,23847,Kreis Herzogtum Lauenburg,Schleswig-Holstein
Stubbendorf,18195,Landkreis Rostock,Mecklenburg-Vorpommern
Stubenberg,94166,Landkreis Rottal-Inn,Bayern
Stüdenitz-Schönermark,16845,Landkreis Ostprignitz-Ruppin,Brandenburg
Stuer,17209,Landkreis Mecklenburgische Seenplatte,Mecklenburg-Vorpommern
Stühlingen,79780,Landkreis Waldshut,Baden-Württemberg
Stuhr,28816,Landkreis Diepholz,Niedersachsen
Stulln,92551,Landkreis Schwandorf,Bayern
Stürzelbach,57614,Landkreis Altenkirchen,Rheinland-Pfalz
Stutensee,76297,Landkreis Karlsruhe,Baden-Württemberg
Stuttgart,70173,,Baden-Württemberg
Stuttgart,70174,,Baden-Württemberg
Stuttgart,70176,,Baden-Württemberg
Stuttgart,70178,,Baden-Württemberg
Stuttgart,70180,,Baden-Württemberg
Stuttgart,70182,,Baden-Württemberg
Stuttgart,70184,,Baden-Württemberg
Stuttgart,70186,,Baden-Württemberg
Stuttgart,70188,,Baden-Württemberg
Stuttgart,70190,,Baden-Württemberg
Stuttgart,70191,,Baden-Württemberg
Stuttgart,70192,,Baden-Württemberg
Stuttgart,70193,,Baden-Württemberg
Stuttgart,70195,,Baden-Württemberg
Stuttgart,70197,,Baden-Württemberg
Stuttgart,70199,,Baden-Württemberg
Stuttgart,70327,,Baden-Württemberg
Stuttgart,70329,,Baden-Württemberg
Stuttgart,70372,,Baden-Württemberg
Stuttgart,70374,,Baden-Württemberg
Stuttgart,70376,,Baden-Württemberg
Stuttgart,70378,,Baden-Württemberg
Stuttgart,70435,,Baden-Württemberg
Stuttgart,70437,,Baden-Württemberg
Stuttgart,70439,,Baden-Württemberg
Stuttgart,70469,,Baden-Württemberg
Stuttgart,70499,,Baden-Württemberg
Stuttgart,70563,,Baden-Württemberg
Stuttgart,70565,,Baden-Württemberg
Stuttgart,70567,,Baden-Württemberg
Stuttgart,70569,,Baden-Württemberg
Stuttgart,70597,,Baden-Württemberg
Stuttgart,70599,,Baden-Württemberg
Stuttgart,70619,,Baden-Württemberg
Stuttgart,70629,,Baden-Württemberg
Stützengrün,08328,Erzgebirgskreis,Sachsen
Stuvenborn,24641,Kreis Segeberg,Schleswig-Holstein
Südbrookmerland,26624,Landkreis Aurich,Niedersachsen
Südbrookmerland,26759,Landkreis Aurich,Niedersachsen
Südeichsfeld,99976,Unstrut-Hainich-Kreis,Thüringen
Südeichsfeld,99988,Unstrut-Hainich-Kreis,Thüringen
Süderau,25361,Kreis Steinburg,Schleswig-Holstein
Süderbrarup,24392,Kreis Schleswig-Flensburg,Schleswig-Holstein
Suderburg,29556,Landkreis Uelzen,Niedersachsen
Süderdeich,25764,Kreis Dithmarschen,Schleswig-Holstein
Süderdorf,25782,Kreis Dithmarschen,Schleswig-Holstein
Süderende,25938,Kreis Nordfriesland,Schleswig-Holstein
Süderfahrenstedt,24890,Kreis Schleswig-Flensburg,Schleswig-Holstein
Südergellersen,21394,Landkreis Lüneburg,Niedersachsen
Süderhackstedt,24852,Kreis Schleswig-Flensburg,Schleswig-Holstein
Süderhackstedt,24992,Kreis Schleswig-Flensburg,Schleswig-Holstein
Süderhastedt,25727,Kreis Dithmarschen,Schleswig-Holstein
Süderheistedt,25779,Kreis Dithmarschen,Schleswig-Holstein
Süderhöft,25876,Kreis Nordfriesland,Schleswig-Holstein
Süderholz,18516,Landkreis Vorpommern-Rügen,Mecklenburg-Vorpommern
Süderlügum,25923,Kreis Nordfriesland,Schleswig-Holstein
Südermarsch,25813,Kreis Nordfriesland,Schleswig-Holstein
Südermarsch,25840,Kreis Nordfriesland,Schleswig-Holstein
Südharz,06536,Landkreis Mansfeld-Südharz,Sachsen-Anhalt
Südheide,29303,Landkreis Celle,Niedersachsen
Südheide,29320,Landkreis Celle,Niedersachsen
Südheide,29345,Landkreis Celle,Niedersachsen
Südliches Anhalt,06369,Landkreis Anhalt-Bitterfeld,Sachsen-Anhalt
Südliches Anhalt,06386,Landkreis Anhalt-Bitterfeld,Sachsen-Anhalt
Südliches Anhalt,06388,Landkreis Anhalt-Bitterfeld,Sachsen-Anhalt
Südlohn,46354,Kreis Borken,Nordrhein-Westfalen
Südmüritz,17207,Landkreis Mecklenburgische Seenplatte,Mecklenburg-Vorpommern
Sudwalde,27257,Landkreis Diepholz,Niedersachsen
Sugenheim,91438,Landkreis Neustadt an der Aisch-Bad Windsheim,Bayern
Sugenheim,91484,Landkreis Neustadt an der Aisch-Bad Windsheim,Bayern
Suhl,98527,,Thüringen
Suhl,98528,,Thüringen
Suhl,98529,,Thüringen
Suhlendorf,29562,Landkreis Uelzen,Niedersachsen
Sukow,19079,Landkreis Ludwigslust-Parchim,Mecklenburg-Vorpommern
Sukow-Levitzow,17168,Landkreis Rostock,Mecklenburg-Vorpommern
Sülfeld,23845,Kreis Segeberg,Schleswig-Holstein
Sülfeld,23867,Kreis Segeberg,Schleswig-Holstein
Sulingen,27232,Landkreis Diepholz,Niedersachsen
Sülm,54636,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz
Sülstorf,19077,Landkreis Ludwigslust-Parchim,Mecklenburg-Vorpommern
Sulza,07751,Saale-Holzland-Kreis,Thüringen
Sulz am Neckar,72172,Landkreis Rottweil,Baden-Württemberg
Sulzbach,65843,Main-Taunus-Kreis,Hessen
Sulzbach,56379,Rhein-Lahn-Kreis,Rheinland-Pfalz
Sulzbach,55758,Landkreis Birkenfeld,Rheinland-Pfalz
Sulzbach am Main,63834,Landkreis Miltenberg,Bayern
Sulzbach an der Murr,71560,Rems-Murr-Kreis,Baden-Württemberg
Sulzbach-Laufen,74429,Landkreis Schwäbisch Hall,Baden-Württemberg
Sulzbach-Rosenberg,92237,Landkreis Amberg-Sulzbach,Bayern
Sulzbach/Saar,66280,Regionalverband Saarbrücken,Saarland
Sulzbachtal,67734,Landkreis Kaiserslautern,Rheinland-Pfalz
Sulzberg,87477,Landkreis Oberallgäu,Bayern
Sulzburg,79295,Landkreis Breisgau-Hochschwarzwald,Baden-Württemberg
Sulzdorf a.d.Lederhecke,97528,Landkreis Rhön-Grabfeld,Bayern
Sulzemoos,85254,Landkreis Dachau,Bayern
Sulzemoos,85259,Landkreis Dachau,Bayern
Sülzetal,39171,Landkreis Börde,Sachsen-Anhalt
Sulzfeld,97633,Landkreis Rhön-Grabfeld,Bayern
Sulzfeld,75056,Landkreis Karlsruhe,Baden-Württemberg
Sülzfeld,98617,Landkreis Schmalkalden-Meiningen,Thüringen
Sulzfeld am Main,97320,Landkreis Kitzingen,Bayern
Sulzheim,97529,Landkreis Schweinfurt,Bayern
Sulzheim,55286,Landkreis Alzey-Worms,Rheinland-Pfalz
Sulzthal,97717,Landkreis Bad Kissingen,Bayern
Sünching,93104,Landkreis Regensburg,Bayern
Sundern,59846,Hochsauerlandkreis,Nordrhein-Westfalen
Sundhagen,18519,Landkreis Vorpommern-Rügen,Mecklenburg-Vorpommern
Sundhausen,99947,Unstrut-Hainich-Kreis,Thüringen
Süpplingen,38373,Landkreis Helmstedt,Niedersachsen
Süpplingenburg,38376,Landkreis Helmstedt,Niedersachsen
Surberg,83362,Landkreis Traunstein,Bayern
Surwold,26903,Landkreis Emsland,Niedersachsen
Süsel,23701,Kreis Ostholstein,Schleswig-Holstein
